Model,Features,Threshold,Trades,Success15Before7Pct,Stop7Before15Pct,AverageRuleBasedReturnPct,Average20DayReturnPct
Mix_MidPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | SmallPct200EMA,75,12432,31.443,42.56,2.396,4.08
Mix_MidPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | SmallPct200EMA,80,9294,30.213,43.878,2.127,3.886
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,50,38034,29.613,44.671,2.009,2.992
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,55,32644,29.479,44.71,1.986,2.887
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,60,28407,29.683,44.753,1.995,3.008
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,65,22037,30.508,43.767,2.182,3.328
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,70,18142,30.746,42.708,2.304,3.541
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,75,13532,29.5,44.694,1.934,3.18
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,80,9325,29.083,44.633,1.887,3.591
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,50,37739,29.513,44.4,2.031,2.96
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,55,33204,29.355,44.359,2.012,2.914
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,60,27369,29.891,44.127,2.086,3.192
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,65,21712,30.886,42.548,2.337,3.612
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,70,18380,31.458,41.376,2.525,3.803
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,75,14448,30.551,42.269,2.31,3.663
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,80,10562,29.71,43.032,2.115,3.719
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,50,37792,28.755,47.177,1.647,2.688
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,55,32229,29.008,46.523,1.733,2.891
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,60,26103,29.395,45.347,1.909,3.119
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,65,21897,29.863,44.207,2.077,3.36
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,70,17974,30.544,43.374,2.255,3.536
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,75,12642,31.126,43.126,2.295,3.88
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,80,9115,30.093,44.059,2.094,3.802
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,50,37503,29.408,45.156,1.925,3.097
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,55,32945,29.513,44.708,1.987,3.107
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,60,26660,30.188,44.107,2.138,3.344
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,65,22126,30.647,43.171,2.271,3.653
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,70,17768,30.836,41.845,2.427,3.76
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,75,14311,30.829,41.863,2.41,3.903
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,80,10237,31.24,41.497,2.463,4.081
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,50,35889,30.104,43.172,2.218,3.277
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,55,32260,30.006,43.308,2.173,3.243
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,60,28354,30.172,42.52,2.245,3.319
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,65,24607,30.134,43.037,2.182,3.26
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,70,21028,30.283,42.8,2.234,3.335
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,75,16564,29.926,42.743,2.18,3.484
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,80,13039,29.987,42.572,2.199,3.666
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,50,37432,29.395,45.295,1.907,3.082
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,55,32855,29.578,44.675,1.994,3.135
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,60,26655,30.006,44.491,2.065,3.279
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,65,22562,30.343,43.733,2.179,3.483
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,70,17772,30.711,42.151,2.388,3.736
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,75,13815,31.118,42.085,2.432,3.896
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,80,9859,31.038,42.165,2.361,4.012
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,50,36770,28.961,45.475,1.831,2.963
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,55,32000,29.603,44.253,2.045,3.212
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,60,26654,30.509,43.082,2.273,3.572
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,65,22335,30.531,42.583,2.307,3.772
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,70,18102,30.947,41.614,2.454,3.862
